project;version;from;to;days;commits;commitsPerDay;accumulated_commits;committers;committers_weigth;changes;additions;deletions;changed_files;bugs;code_smells;cognitive_complexity;critical_violations;complexity;duplicated_blocks;duplicated_files;duplicated_lines;duplicated_lines_density;info_violations;violations;major_violations;minor_violations;open_issues;statements;;
jradio;1.25-SNAPSHOT;2020-02-18T23:49:47+0100;2020-02-19T08:37:49+0100;1;3;3.0;348;1;1.0;23;18;5;3;1;141;2159;25;11621;183;72;5460;8.4;1;142;94;22;141;19525;;
jradio;1.24-SNAPSHOT;2020-02-01T22:41:51+0100;2020-02-18T23:49:47+0100;18;16;0.8889;345;1;1.0;1434;1109;325;38;1;141;2158;25;11620;183;72;5460;8.4;1;142;94;22;141;19523;;
jradio;1.23-SNAPSHOT;2020-01-28T22:07:44+0100;2020-02-01T22:41:51+0100;5;7;1.4;329;1;1.0;2972;2939;33;19;0;141;2108;25;11557;181;70;5428;8.4;1;141;92;23;140;19404;;
jradio;1.22-SNAPSHOT;2020-01-25T14:03:05+0100;2020-01-28T22:07:44+0100;4;4;1.0;322;1;1.0;92;77;15;4;0;139;2082;25;11498;181;70;5428;8.5;1;139;92;21;138;19306;;
jradio;1.21-SNAPSHOT;2020-01-04T08:18:16+0100;2020-01-25T14:03:05+0100;22;18;0.8182;318;1;1.0;10660;9980;680;50;0;139;2080;25;11493;181;70;5428;8.5;1;139;92;21;138;19298;;
jradio;1.20-SNAPSHOT;2019-12-15T13:33:43+0100;2020-01-04T08:18:16+0100;20;7;0.35;300;1;1.0;2681;1504;1177;22;0;148;2060;25;11376;175;72;5213;8.2;7;148;106;10;147;19265;;
jradio;1.19-SNAPSHOT;2019-12-13T09:17:00+0100;2019-12-15T13:33:43+0100;3;6;2.0;293;1;1.0;2037;1091;946;12;0;150;2062;25;11364;175;72;5213;8.2;7;150;108;10;149;19258;;
jradio;1.18-SNAPSHOT;2019-10-15T21:24:12+0200;2019-12-13T09:17:00+0100;59;28;0.4746;287;1;1.0;947;583;364;41;0;150;2061;25;11329;172;71;5147;8.2;7;150;108;10;149;19227;;
jradio;1.17-SNAPSHOT;2019-10-15T21:23:13+0200;2019-10-15T21:24:12+0200;1;0;0.0;259;0;0;0;0;0;0;0;313;2061;28;11320;172;71;5147;8.2;7;313;120;156;313;19208;;
jradio;1.16;2019-10-15T21:21:37+0200;2019-10-15T21:23:13+0200;1;0;0.0;259;0;0;0;0;0;0;0;313;2061;28;11320;172;71;5147;8.2;7;313;120;156;313;19208;;
jradio;1.16-SNAPSHOT;2019-03-30T09:24:31+0100;2019-10-15T21:21:37+0200;200;253;1.265;259;1;1.0;61734;37966;23768;402;0;313;2061;28;11320;172;71;5147;8.2;7;313;120;156;313;19208;;
jradio;1.15-SNAPSHOT;2019-03-03T19:44:30+0100;2019-03-30T09:24:31+0100;27;6;0.2223;6;1;1.0;124;94;30;10;0;6123;1871;194;10343;166;64;5054;8.0;7;6123;163;5759;6123;17566;;
